,B,Epithelial,Macrophages,Mast,NK,Neutrophil,Plasma,T,mDC,pDC
FRA10AC1,0.03571428571428571,0.16828478964401294,0.07113200156678418,0.0,0.058823529411764705,0.012062726176115802,0.2777777777777778,0.1131161971830986,0.05172413793103448,0.03125
SLC11A2,0.03571428571428571,0.24271844660194175,0.19255777516647082,0.23076923076923078,0.025210084033613446,0.05307599517490953,0.08641975308641975,0.09286971830985916,0.19827586206896552,0.09375
TMEM186,0.0,0.038834951456310676,0.025851938895417155,0.0,0.011204481792717087,0.0,0.04938271604938271,0.042693661971830985,0.017241379310344827,0.03125
SYNRG,0.21428571428571427,0.3365695792880259,0.19122600861731295,0.15384615384615385,0.32212885154061627,0.04463208685162847,0.41358024691358025,0.3904049295774648,0.22413793103448276,0.40625
CHRNB1,0.14285714285714285,0.1262135922330097,0.06572659616137877,0.0,0.08403361344537816,0.006031363088057901,0.16049382716049382,0.1073943661971831,0.09482758620689655,0.0625
ATG4A,0.03571428571428571,0.11650485436893204,0.036662749706227966,0.0,0.03361344537815126,0.006031363088057901,0.11728395061728394,0.04621478873239437,0.05172413793103448,0.09375
AGBL5,0.0,0.0970873786407767,0.014571092831962397,0.0,0.028011204481792718,0.0024125452352231603,0.1111111111111111,0.03389084507042254,0.008620689655172414,0.03125
AXL,0.0,0.13915857605177995,0.05530748139443792,0.0,0.0,0.0012062726176115801,0.024691358024691357,0.011443661971830986,0.20689655172413793,0.03125
AC016831.1,0.07142857142857142,0.15857605177993528,0.08907168037602821,0.07692307692307693,0.028011204481792718,0.04825090470446321,0.10493827160493827,0.05413732394366197,0.05172413793103448,0.0625
STMN3,0.0,0.025889967637540454,0.009009009009009009,0.0,0.01680672268907563,0.0,0.018518518518518517,0.06734154929577464,0.02586206896551724,0.0
HACD1,0.0,0.10355987055016182,0.028515471993732864,0.07692307692307693,0.03081232492997199,0.0024125452352231603,0.0,0.01716549295774648,0.034482758620689655,0.0
