,B,Epithelial,Macrophages,NK,Plasma,T,mDC,pDC
RPRD1B,0.06666666666666667,0.5384615384615384,0.059128237523689196,0.0,0.0,0.04411764705882353,0.013043478260869565,0.0
PACSIN2,0.0,0.07692307692307693,0.07530006317119393,0.0,0.0,0.058823529411764705,0.11739130434782609,0.0
NFKBID,0.06666666666666667,0.07692307692307693,0.046999368288060644,0.0,0.0,0.03308823529411765,0.10869565217391304,0.0
KLHDC3,0.13333333333333333,0.23076923076923078,0.12217308907138345,0.0,0.0,0.08823529411764706,0.04782608695652174,0.0
S100A6,1.0,1.0,0.9994946304485155,1.0,1.0,0.9705882352941176,0.9652173913043478,1.0
TMEM229B,0.0,0.07692307692307693,0.01655085281111813,0.0,0.0,0.007352941176470588,0.008695652173913044,0.0
FRAT1,0.0,0.0,0.01655085281111813,0.0,0.0,0.003676470588235294,0.0,0.0
WDR75,0.0,0.07692307692307693,0.03701831964624131,0.0,0.0,0.04411764705882353,0.017391304347826087,0.0
INPP5E,0.0,0.15384615384615385,0.016171825647504738,0.0,0.0,0.014705882352941176,0.0,0.0
SENP2,0.0,0.15384615384615385,0.025015792798483892,0.0,0.0,0.014705882352941176,0.017391304347826087,0.0
TRIM23,0.06666666666666667,0.0,0.023499684144030322,0.2,0.0,0.022058823529411766,0.013043478260869565,0.3333333333333333
SF3B3,0.0,0.3076923076923077,0.05773847125710676,0.0,0.0,0.08823529411764706,0.030434782608695653,0.0
C1QC,0.6666666666666666,0.6153846153846154,0.9404927353126974,0.0,1.0,0.5330882352941176,0.33043478260869563,0.3333333333333333
CNPY3,0.13333333333333333,0.15384615384615385,0.33720783322804804,0.0,0.0,0.20220588235294118,0.13478260869565217,0.3333333333333333
TBC1D25,0.0,0.0,0.02312065698041693,0.0,0.0,0.007352941176470588,0.017391304347826087,0.0
C19ORF38,0.06666666666666667,0.07692307692307693,0.03095388502842704,0.0,0.0,0.022058823529411766,0.034782608695652174,0.0
HLA-E,0.4666666666666667,0.46153846153846156,0.8544535691724574,0.4,1.0,0.7389705882352942,0.5217391304347826,0.6666666666666666
DBF4B,0.0,0.0,0.008464939987365762,0.0,0.0,0.022058823529411766,0.013043478260869565,0.0
SCRN3,0.0,0.0,0.01983575489576753,0.0,0.0,0.01838235294117647,0.0,0.0
KTI12,0.06666666666666667,0.0,0.027416298168035376,0.0,0.0,0.025735294117647058,0.017391304347826087,0.0
DLEU7,0.0,0.07692307692307693,0.055716993051168666,0.0,0.0,0.01838235294117647,0.008695652173913044,0.0
CAHM,0.0,0.0,0.004421983575489577,0.0,0.0,0.003676470588235294,0.008695652173913044,0.0
GATAD2B,0.0,0.0,0.05066329753632343,0.0,0.0,0.05514705882352941,0.017391304347826087,0.3333333333333333
THAP2,0.0,0.07692307692307693,0.013518635502210993,0.0,0.0,0.022058823529411766,0.0,0.0
ID2,0.06666666666666667,0.23076923076923078,0.42236260265319014,0.0,0.0,0.3161764705882353,0.3739130434782609,0.0
MPHOSPH10,0.06666666666666667,0.07692307692307693,0.10322173089071383,0.0,0.0,0.07720588235294118,0.06956521739130435,0.0
GGH,0.0,0.23076923076923078,0.04320909665192672,0.0,0.0,0.25,0.013043478260869565,0.0
HEATR1,0.0,0.15384615384615385,0.027542640555906505,0.0,0.0,0.014705882352941176,0.004347826086956522,0.0
DPM3,0.13333333333333333,0.5384615384615384,0.32432090966519267,0.2,0.0,0.1801470588235294,0.13043478260869565,0.0
RPP14,0.0,0.07692307692307693,0.025268477574226154,0.0,0.0,0.029411764705882353,0.030434782608695653,0.0
VPS11,0.0,0.0,0.05938092229943146,0.0,0.0,0.029411764705882353,0.013043478260869565,0.0
MTMR6,0.0,0.23076923076923078,0.17359444093493367,0.0,0.0,0.14338235294117646,0.021739130434782608,0.0
ABHD14B,0.0,0.23076923076923078,0.21339229311433985,0.0,0.0,0.08823529411764706,0.06086956521739131,0.0
SNW1,0.0,0.23076923076923078,0.18673404927353127,0.0,0.0,0.22058823529411764,0.09565217391304348,0.0
SMIM10,0.0,0.0,0.017056222362602652,0.0,0.0,0.01838235294117647,0.0,0.0
PRRC2B,0.0,0.38461538461538464,0.08401768793430196,0.0,0.0,0.058823529411764705,0.013043478260869565,0.0
SCOC,0.13333333333333333,0.38461538461538464,0.19065066329753633,0.0,0.0,0.14338235294117646,0.07391304347826087,0.3333333333333333
EDEM2,0.06666666666666667,0.23076923076923078,0.27770056854074543,0.0,0.0,0.16544117647058823,0.021739130434782608,0.0
ZNF518B,0.0,0.07692307692307693,0.029943145925457992,0.2,0.0,0.03308823529411765,0.017391304347826087,0.0
NFKB2,0.0,0.07692307692307693,0.01996209728363866,0.0,0.0,0.025735294117647058,0.034782608695652174,0.0
CD68,0.3333333333333333,0.23076923076923078,0.944914718888187,0.0,0.0,0.5330882352941176,0.30869565217391304,1.0
ING5,0.06666666666666667,0.07692307692307693,0.0361339229311434,0.2,0.0,0.05514705882352941,0.017391304347826087,0.0
CD93,0.06666666666666667,0.0,0.015161086544535692,0.0,0.0,0.022058823529411766,0.034782608695652174,0.0
CNNM3,0.0,0.0,0.007833228048010107,0.0,0.0,0.003676470588235294,0.004347826086956522,0.0
HIST1H2BH,0.0,0.0,0.0012634238787113076,0.0,0.0,0.007352941176470588,0.004347826086956522,0.0
TRMU,0.0,0.15384615384615385,0.03802905874921036,0.0,0.0,0.08088235294117647,0.030434782608695653,0.0
PPIE,0.13333333333333333,0.46153846153846156,0.15186355022109918,0.0,0.0,0.11764705882352941,0.06086956521739131,0.0
LCA5L,0.0,0.23076923076923078,0.0030322173089071384,0.0,0.0,0.0,0.0,0.0
RAB11FIP1,0.13333333333333333,0.6153846153846154,0.31181301326595073,0.0,0.0,0.19117647058823528,0.1826086956521739,0.0
NBDY,0.2,0.6923076923076923,0.4768161718256475,0.2,0.0,0.29044117647058826,0.2826086956521739,0.0
BTN3A3,0.0,0.07692307692307693,0.0344914718888187,0.0,0.0,0.01838235294117647,0.004347826086956522,0.0
COMMD3,0.06666666666666667,0.3076923076923077,0.23992419456727732,0.0,0.0,0.15073529411764705,0.14782608695652175,0.0
DUSP3,0.13333333333333333,0.15384615384615385,0.16197094125078965,0.0,0.0,0.07352941176470588,0.06086956521739131,0.0
MRPL1,0.0,0.23076923076923078,0.24611497157296272,0.0,0.0,0.17647058823529413,0.12608695652173912,0.0
TSHZ2,0.0,0.15384615384615385,0.0010107391029690461,0.0,0.0,0.022058823529411766,0.004347826086956522,0.0
CLEC2B,0.0,0.3076923076923077,0.3490840176879343,0.6,0.0,0.2977941176470588,0.12173913043478261,0.3333333333333333
IFT88,0.0,0.3076923076923077,0.022615287428932408,0.0,0.0,0.025735294117647058,0.008695652173913044,0.0
BUD13,0.06666666666666667,0.0,0.02451042324699937,0.0,0.0,0.03676470588235294,0.008695652173913044,0.0
PGAM5,0.0,0.0,0.01503474415666456,0.0,0.0,0.014705882352941176,0.008695652173913044,0.0
RBM45,0.0,0.15384615384615385,0.024005053695514846,0.0,0.0,0.014705882352941176,0.0391304347826087,0.0
RPL4,0.6666666666666666,0.9230769230769231,0.9264687302590019,0.8,1.0,0.8125,0.8478260869565217,1.0
APOLD1,0.0,0.0,0.005180037902716361,0.0,0.0,0.13970588235294118,0.017391304347826087,0.0
TRIM6,0.0,0.0,0.002526847757422615,0.0,0.0,0.003676470588235294,0.0,0.0
MRPL36,0.06666666666666667,0.07692307692307693,0.16411876184459886,0.0,0.0,0.08823529411764706,0.06086956521739131,0.3333333333333333
NLK,0.0,0.07692307692307693,0.04914718888186987,0.0,0.0,0.04044117647058824,0.013043478260869565,0.0
TEX9,0.0,0.38461538461538464,0.0020214782059380923,0.0,0.0,0.003676470588235294,0.013043478260869565,0.0
SLC25A45,0.0,0.0,0.06645609602021478,0.0,0.0,0.04779411764705882,0.0391304347826087,0.0
BMT2,0.0,0.0,0.017435249526216046,0.0,0.0,0.011029411764705883,0.004347826086956522,0.0
CPVL,0.2,0.23076923076923078,0.51396083385976,0.0,0.0,0.29411764705882354,0.29130434782608694,0.3333333333333333
PHYH,0.0,0.15384615384615385,0.13480732785849653,0.0,0.0,0.09191176470588236,0.017391304347826087,0.0
MALAT1,1.0,1.0,0.9988629185091599,1.0,1.0,1.0,1.0,1.0
TPBG,0.0,0.15384615384615385,0.0010107391029690461,0.0,0.0,0.0,0.0,0.0
SQOR,0.13333333333333333,0.23076923076923078,0.355527479469362,0.2,0.0,0.24632352941176472,0.12173913043478261,0.3333333333333333
VPS52,0.0,0.07692307692307693,0.03461781427668983,0.0,0.0,0.025735294117647058,0.004347826086956522,0.0
RHEBL1,0.0,0.0,0.005811749842072015,0.0,0.0,0.01838235294117647,0.004347826086956522,0.0
TJAP1,0.0,0.07692307692307693,0.02488945041061276,0.0,0.0,0.029411764705882353,0.013043478260869565,0.0
C11ORF24,0.0,0.0,0.045483259633607075,0.0,0.0,0.029411764705882353,0.017391304347826087,0.3333333333333333
C12ORF49,0.0,0.23076923076923078,0.12166771951989892,0.0,1.0,0.09191176470588236,0.021739130434782608,0.0
RAB7B,0.0,0.07692307692307693,0.0784586228679722,0.0,0.0,0.01838235294117647,0.04782608695652174,0.0
UGDH-AS1,0.0,0.07692307692307693,0.002274162981680354,0.0,0.0,0.0,0.0,0.3333333333333333
NFYB,0.06666666666666667,0.0,0.05483259633607075,0.0,0.0,0.10294117647058823,0.034782608695652174,0.0
AOAH,0.0,0.0,0.06266582438408086,0.0,0.0,0.03308823529411765,0.04782608695652174,0.0
TSPYL2,0.06666666666666667,0.0,0.014529374605180037,0.0,0.0,0.011029411764705883,0.0,0.0
POMT1,0.0,0.07692307692307693,0.013265950726468731,0.0,0.0,0.014705882352941176,0.0,0.0
CCDC93,0.0,0.0,0.05950726468730259,0.0,0.0,0.07352941176470588,0.013043478260869565,0.0
FAM126B,0.0,0.23076923076923078,0.06114971572962729,0.0,0.0,0.04411764705882353,0.02608695652173913,0.0
UBR5-AS1,0.0,0.0,0.013897662665824383,0.0,0.0,0.01838235294117647,0.008695652173913044,0.3333333333333333
SMAGP,0.0,0.15384615384615385,0.0030322173089071384,0.0,0.0,0.022058823529411766,0.017391304347826087,0.0
ZBTB45,0.0,0.07692307692307693,0.026152874289324068,0.0,0.0,0.011029411764705883,0.004347826086956522,0.0
MIGA2,0.06666666666666667,0.23076923076923078,0.011749842072015161,0.0,0.0,0.014705882352941176,0.004347826086956522,0.0
PARP16,0.0,0.0,0.0082122552116235,0.0,0.0,0.011029411764705883,0.004347826086956522,0.0
ZNF93,0.0,0.0,0.03436512950094757,0.0,0.0,0.07352941176470588,0.021739130434782608,0.0
LRWD1,0.06666666666666667,0.5384615384615384,0.026531901452937462,0.0,0.0,0.025735294117647058,0.004347826086956522,0.0
CSKMT,0.0,0.0,0.029185091598231207,0.2,0.0,0.04044117647058824,0.017391304347826087,0.0
NAGA,0.06666666666666667,0.23076923076923078,0.16197094125078965,0.0,0.0,0.1213235294117647,0.0782608695652174,0.0
SF3B1,0.0,0.38461538461538464,0.25129500947567907,0.0,0.0,0.20955882352941177,0.10434782608695652,0.6666666666666666
TRNAU1AP,0.06666666666666667,0.38461538461538464,0.09488313329121921,0.0,0.0,0.11029411764705882,0.043478260869565216,0.0
NCF2,0.06666666666666667,0.23076923076923078,0.6055590650663297,0.0,0.0,0.24632352941176472,0.13478260869565217,0.3333333333333333
RNF130,0.13333333333333333,0.38461538461538464,0.5212886923562855,0.0,0.0,0.22794117647058823,0.17391304347826086,0.0
DYNC1LI1,0.13333333333333333,0.07692307692307693,0.16083385975994946,0.0,0.0,0.10661764705882353,0.11739130434782609,0.3333333333333333
LINC02482,0.0,0.15384615384615385,0.03297536323436513,0.0,0.0,0.025735294117647058,0.008695652173913044,0.0
E4F1,0.0,0.15384615384615385,0.03676563487049905,0.0,0.0,0.014705882352941176,0.017391304347826087,0.0
ZNF20,0.0,0.15384615384615385,0.006822488945041061,0.0,0.0,0.0,0.0,0.0
CSRP1,0.0,0.3076923076923077,0.16475047378395452,0.2,0.0,0.1213235294117647,0.05217391304347826,0.0
ZNF496,0.0,0.0,0.010360075805432722,0.0,0.0,0.007352941176470588,0.013043478260869565,0.0
CEP131,0.0,0.07692307692307693,0.008843967150979154,0.0,0.0,0.014705882352941176,0.013043478260869565,0.0
MKRN1,0.13333333333333333,0.46153846153846156,0.22678458622867972,0.2,0.0,0.13970588235294118,0.11304347826086956,0.0
NPEPL1,0.0,0.0,0.050410612760581175,0.0,0.0,0.04411764705882353,0.013043478260869565,0.0
GNB1,0.13333333333333333,0.07692307692307693,0.2808591282375237,0.0,0.0,0.22794117647058823,0.10869565217391304,0.3333333333333333
RAD51C,0.0,0.07692307692307693,0.06873025900189514,0.0,0.0,0.11397058823529412,0.021739130434782608,0.0
ELMSAN1,0.06666666666666667,0.0,0.1331648768161718,0.0,0.0,0.08823529411764706,0.06521739130434782,0.0
FAM156A,0.0,0.0,0.0016424510423247,0.0,0.0,0.003676470588235294,0.004347826086956522,0.0
CD48,0.26666666666666666,0.0,0.0874289324068225,0.2,0.0,0.17647058823529413,0.17391304347826086,0.0
ZMYM2,0.13333333333333333,0.3076923076923077,0.0945041061276058,0.0,0.0,0.04044117647058824,0.06521739130434782,1.0
TMED3,0.06666666666666667,0.23076923076923078,0.28945041061276056,0.0,0.0,0.17279411764705882,0.08260869565217391,0.3333333333333333
FAM135A,0.06666666666666667,0.0,0.02514213518635502,0.0,0.0,0.003676470588235294,0.017391304347826087,0.0
DCLRE1C,0.06666666666666667,0.07692307692307693,0.06456096020214783,0.0,0.0,0.08088235294117647,0.0782608695652174,0.0
