,B,Epithelial,Macrophages,NK,T,mDC,pDC
JAGN1,0.2,0.06060606060606061,0.05904570061689538,0.0,0.11320754716981132,0.043478260869565216,0.0
ENTPD5,0.0,0.030303030303030304,0.02769734357295732,0.0,0.0,0.0,0.0
ZNF573,0.0,0.0,0.008435100088127912,0.0,0.018867924528301886,0.008695652173913044,0.0
CSF3R,0.2,0.0,0.08346972176759411,0.0,0.11320754716981132,0.06086956521739131,0.0
LASP1,0.0,0.12121212121212122,0.15296487473246884,0.0,0.20754716981132076,0.11304347826086956,0.0
FBXW5,0.2,0.09090909090909091,0.07629359184187334,0.0,0.05660377358490566,0.02608695652173913,0.0
MAF1,0.2,0.09090909090909091,0.1175878131688279,0.0,0.05660377358490566,0.043478260869565216,0.0
SAFB2,0.0,0.030303030303030304,0.05186957069117462,0.0,0.07547169811320754,0.043478260869565216,0.3333333333333333
B3GALT4,0.0,0.0,0.03537706156364094,0.0,0.03773584905660377,0.043478260869565216,0.0
BACE1,0.0,0.0,0.07302026941961476,0.0,0.11320754716981132,0.034782608695652174,0.0
CFAP54,0.0,0.24242424242424243,0.0001258970162407151,0.0,0.0,0.0,0.0
FAM53C,0.0,0.06060606060606061,0.026564270426790885,0.0,0.05660377358490566,0.0,0.0
HES6,0.0,0.06060606060606061,0.0033992194384993074,0.0,0.05660377358490566,0.0,0.0
APAF1,0.0,0.0,0.021906080825884428,0.0,0.0,0.008695652173913044,0.0
ZBED3,0.0,0.0,0.013722774770237945,0.0,0.018867924528301886,0.017391304347826087,0.0
BLCAP,0.0,0.09090909090909091,0.07742666498803978,0.0,0.05660377358490566,0.02608695652173913,0.0
ARNT,0.0,0.030303030303030304,0.028075034621679467,0.0,0.09433962264150944,0.008695652173913044,0.0
MED22,0.0,0.030303030303030304,0.01435225985144152,0.0,0.0,0.0,0.0
EIF4B,0.2,0.3333333333333333,0.29283645977590333,0.0,0.2641509433962264,0.21739130434782608,0.3333333333333333
RBM42,0.0,0.12121212121212122,0.09127533677451845,0.0,0.11320754716981132,0.06086956521739131,0.0
NDUFA4,0.6,0.8484848484848485,0.891728566032985,1.0,0.8490566037735849,0.7565217391304347,1.0
ZFP41,0.0,0.0,0.004280498552184313,0.0,0.018867924528301886,0.0,0.0
TRIM27,0.2,0.18181818181818182,0.09706659952159134,0.0,0.11320754716981132,0.06956521739130435,0.0
PLPP5,0.0,0.15151515151515152,0.04469344076545386,0.0,0.03773584905660377,0.034782608695652174,0.0
PCYT1A,0.0,0.09090909090909091,0.06685131562381971,0.0,0.05660377358490566,0.008695652173913044,0.0
TUT1,0.0,0.12121212121212122,0.01901044945234798,0.0,0.018867924528301886,0.0,0.0
